"Rank","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","BPM"
307,"Furkan Korkmaz","SG",24,"PHI",51,18,24,3.2,8.1,0.396,1.3,4.5,0.298,1.9,3.6,0.516,0.478,1.2,1.4,0.833,0.3,2.7,3,2.3,0.6,0.1,0.8,1,8.9,-2.6
80,"Thomas Bryant","C",24,"WAS",16,9,17.3,3.1,6.1,0.515,0.6,1.8,0.31,2.6,4.3,0.603,0.562,1.3,1.5,0.833,1.4,2.6,4,0.9,0.4,0.6,0.6,1.7,8.1,0.2
561,"Trendon Watford","SF",21,"POR",33,0,12.6,1.9,3.2,0.59,0,0.3,0.091,1.8,2.8,0.649,0.595,0.7,1.1,0.686,0.8,2.4,3.2,1.1,0.3,0.5,0.7,1.7,4.5,-2.1
201,"Javonte Green","SF",28,"CHI",42,31,24.2,2.8,5.2,0.546,0.5,1.5,0.349,2.3,3.7,0.626,0.596,1.5,1.8,0.824,1.6,2.8,4.4,1.1,0.9,0.5,0.6,2.1,7.6,-0.2
440,"Yves Pons","SF",22,"MEM",7,0,3.1,0.1,0.4,0.333,0.1,0.1,1,0,0.3,0,0.5,0,0.3,0,0.3,0.4,0.7,0,0,0,0,0.3,0.4,-6.7
136,"Gorgui Dieng","C",32,"ATL",37,3,9,1.2,2.6,0.479,0.6,1.5,0.426,0.6,1.1,0.548,0.599,0.5,0.6,0.708,0.9,2.2,3,0.8,0.3,0.4,0.5,1.2,3.6,1.7
284,"Carlik Jones","PG",24,"TOT",5,0,4.6,0.2,1.8,0.111,0,0.2,0,0.2,1.6,0.125,0.111,0.4,0.4,1,0.2,0.4,0.6,1,0.2,0,0.6,0,0.8,-15.3
536,"Gary Trent Jr.","SG",23,"TOR",48,47,34.9,6.7,15.7,0.43,3.2,8,0.397,3.5,7.6,0.463,0.531,1.9,2.4,0.814,0.3,2.4,2.7,1.9,1.9,0.3,1,2.1,18.6,0.7
82,"Reggie Bullock","SF",30,"DAL",49,18,25.3,2.8,6.8,0.415,1.9,5.2,0.363,0.9,1.6,0.582,0.554,0.6,0.7,0.857,0.4,3,3.4,1,0.5,0.1,0.5,1.4,8.2,-1.1
31,"Scottie Barnes","PF",20,"TOR",49,49,35.4,5.7,12.1,0.47,0.8,2.7,0.313,4.9,9.4,0.514,0.504,2.2,3,0.733,2.4,5,7.4,3.3,1,0.8,1.8,2.7,14.4,0
443,"Michael Porter Jr.","SF",23,"DEN",9,9,29.4,4.1,11.4,0.359,1.1,5.3,0.208,3,6.1,0.491,0.408,0.6,1,0.556,1,5.6,6.6,1.9,1.1,0.2,1.3,1.8,9.9,-3.4
16,"OG Anunoby","SF",24,"TOR",42,42,36.7,6.6,15.1,0.436,2.4,6.8,0.351,4.2,8.3,0.506,0.515,1.9,2.5,0.748,1.6,3.9,5.5,2.6,1.5,0.6,1.8,3,17.5,0.1
69,"Armoni Brooks","SG",23,"HOU",41,8,16.8,2.1,6.1,0.347,1.6,5.2,0.3,0.6,0.9,0.605,0.474,0.4,0.5,0.842,0.3,1.7,2,1.2,0.5,0.2,0.6,1.5,6.2,-4.4
159,"James Ennis III","SF",31,"TOT",7,0,8,1.6,3.4,0.458,0.4,1.1,0.375,1.1,2.3,0.5,0.521,0.6,0.7,0.8,0.7,1,1.7,0.4,0.3,0.3,0.3,0.7,4.1,-1
39,"Darius Bazley","PF",21,"OKC",53,37,27.3,3.6,9,0.4,1,3.5,0.294,2.6,5.5,0.467,0.457,1.6,2.3,0.697,1.1,5.4,6.6,1.3,0.8,1.1,1.3,1,9.8,-1.8
549,"Moritz Wagner","C",24,"ORL",45,0,12.5,2.6,5.3,0.5,0.9,2.8,0.331,1.7,2.5,0.684,0.586,1.4,1.8,0.797,0.5,2,2.4,1.1,0.3,0.2,0.7,1.8,7.6,1.5
400,"Malik Newman","PG",24,"CLE",1,0,8,3,5,0.6,0,1,0,3,4,0.75,0.6,2,2,1,0,1,1,1,0,0,1,0,8,6.8
221,"Isaiah Hartenstein","C",23,"LAC",47,0,16.1,3.1,5,0.621,0.1,0.2,0.444,3,4.8,0.628,0.63,1.1,1.7,0.667,1.5,2.9,4.4,1.9,0.7,1.1,1.1,2.4,7.4,3.8
185,"Josh Giddey","SG",19,"OKC",53,53,31.4,5.2,12.4,0.418,1.1,4,0.267,4.1,8.4,0.49,0.461,1,1.5,0.705,1.8,6,7.8,6.4,0.9,0.4,3.2,1.6,12.4,-0.9
591,"Cody Zeller","C",29,"POR",27,0,13.1,1.9,3.3,0.567,0,0.1,0,1.9,3.2,0.593,0.567,1.4,1.8,0.776,1.9,2.8,4.6,0.8,0.3,0.2,0.7,2.1,5.2,-1.8
568,"Joe Wieskamp","SG",22,"SAS",15,0,6.1,0.9,1.9,0.464,0.5,1.3,0.421,0.3,0.6,0.556,0.607,0.2,0.5,0.429,0.2,0.3,0.5,0.3,0.1,0.1,0.1,0.4,2.5,-0.1
507,"Lance Stephenson","SG-SF",31,"TOT",30,1,18.1,3.3,7.1,0.458,0.5,2,0.246,2.8,5.1,0.542,0.493,1.3,1.7,0.8,0.3,2.7,3,3.7,0.5,0.1,1.6,1.9,8.4,-3
280,"Keon Johnson","SG",19,"LAC",15,0,9,1.1,3.4,0.333,0.2,0.7,0.273,0.9,2.7,0.35,0.363,1.1,1.4,0.762,0.4,1,1.4,0.9,0.5,0.1,0.5,1.4,3.5,-5.7
32,"RJ Barrett","SF",21,"NYK",48,48,33.1,6.4,15.5,0.412,2,5.6,0.354,4.4,9.8,0.445,0.476,3.2,4.6,0.695,0.9,4.8,5.7,2.6,0.5,0.3,2,2,18,-1.6
